canal,fecha,gasto_mxn
Email,2025-06-22,101.09
Eventos,2025-06-22,229.52
Google Ads,2025-06-22,699.73
Meta Ads,2025-06-22,420.92
Referidos,2025-06-22,186.69
Email,2025-06-23,121.64
Eventos,2025-06-23,460.06
Google Ads,2025-06-23,912.60
Meta Ads,2025-06-23,644.80
Referidos,2025-06-23,224.54
Email,2025-06-24,169.02
Eventos,2025-06-24,462.82
Google Ads,2025-06-24,1029.98
Meta Ads,2025-06-24,608.01
Referidos,2025-06-24,215.81
Email,2025-06-25,142.60
Eventos,2025-06-25,321.74
Google Ads,2025-06-25,916.48
Meta Ads,2025-06-25,805.85
Referidos,2025-06-25,237.49
Email,2025-06-26,144.02
Eventos,2025-06-26,366.95
Google Ads,2025-06-26,853.64
Meta Ads,2025-06-26,642.80
Referidos,2025-06-26,304.96
Email,2025-06-27,152.21
Eventos,2025-06-27,402.71
Google Ads,2025-06-27,939.24
Meta Ads,2025-06-27,677.38
Referidos,2025-06-27,292.42
Email,2025-06-28,102.27
Eventos,2025-06-28,327.85
Google Ads,2025-06-28,643.07
Meta Ads,2025-06-28,410.35
Referidos,2025-06-28,217.17
Email,2025-06-29,117.55
Eventos,2025-06-29,295.38
Google Ads,2025-06-29,602.65
Meta Ads,2025-06-29,586.04
Referidos,2025-06-29,164.24
Email,2025-06-30,165.24
Eventos,2025-06-30,457.88
Google Ads,2025-06-30,786.81
Meta Ads,2025-06-30,698.22
Referidos,2025-06-30,305.68
Email,2025-07-01,145.70
Eventos,2025-07-01,398.76
Google Ads,2025-07-01,821.53
Meta Ads,2025-07-01,777.79
Referidos,2025-07-01,284.37
Email,2025-07-02,153.81
Eventos,2025-07-02,446.85
Google Ads,2025-07-02,783.27
Meta Ads,2025-07-02,632.05
Referidos,2025-07-02,245.05
Email,2025-07-03,170.21
Eventos,2025-07-03,466.63
Google Ads,2025-07-03,747.43
Meta Ads,2025-07-03,744.77
Referidos,2025-07-03,272.23
Email,2025-07-04,142.02
Eventos,2025-07-04,409.33
Google Ads,2025-07-04,810.29
Meta Ads,2025-07-04,646.01
Referidos,2025-07-04,271.68
Email,2025-07-05,111.75
Eventos,2025-07-05,285.52
Google Ads,2025-07-05,533.23
Meta Ads,2025-07-05,475.28
Referidos,2025-07-05,195.31
Email,2025-07-06,85.73
Eventos,2025-07-06,319.90
Google Ads,2025-07-06,746.67
Meta Ads,2025-07-06,565.52
Referidos,2025-07-06,150.02
Email,2025-07-07,168.63
Eventos,2025-07-07,410.60
Google Ads,2025-07-07,894.31
Meta Ads,2025-07-07,681.80
Referidos,2025-07-07,249.85
Email,2025-07-08,174.55
Eventos,2025-07-08,347.30
Google Ads,2025-07-08,803.80
Meta Ads,2025-07-08,837.97
Referidos,2025-07-08,233.97
Email,2025-07-09,172.90
Eventos,2025-07-09,383.42
Google Ads,2025-07-09,1055.26
Meta Ads,2025-07-09,705.44
Referidos,2025-07-09,297.96
Email,2025-07-10,148.80
Eventos,2025-07-10,460.01
Google Ads,2025-07-10,726.86
Meta Ads,2025-07-10,624.25
Referidos,2025-07-10,291.63
Email,2025-07-11,127.57
Eventos,2025-07-11,376.28
Google Ads,2025-07-11,743.09
Meta Ads,2025-07-11,700.52
Referidos,2025-07-11,231.84
Email,2025-07-12,114.42
Eventos,2025-07-12,285.93
Google Ads,2025-07-12,521.80
Meta Ads,2025-07-12,530.61
Referidos,2025-07-12,217.90
Email,2025-07-13,113.89
Eventos,2025-07-13,285.14
Google Ads,2025-07-13,588.07
Meta Ads,2025-07-13,422.80
Referidos,2025-07-13,164.96
Email,2025-07-14,124.94
Eventos,2025-07-14,395.26
Google Ads,2025-07-14,1059.51
Meta Ads,2025-07-14,618.77
Referidos,2025-07-14,288.86
Email,2025-07-15,175.23
Eventos,2025-07-15,337.65
Google Ads,2025-07-15,905.00
Meta Ads,2025-07-15,691.10
Referidos,2025-07-15,300.27
Email,2025-07-16,136.06
Eventos,2025-07-16,333.30
Google Ads,2025-07-16,884.48
Meta Ads,2025-07-16,563.73
Referidos,2025-07-16,223.41
Email,2025-07-17,159.26
Eventos,2025-07-17,471.20
Google Ads,2025-07-17,908.12
Meta Ads,2025-07-17,647.91
Referidos,2025-07-17,282.08
Email,2025-07-18,123.68
Eventos,2025-07-18,448.50
Google Ads,2025-07-18,823.00
Meta Ads,2025-07-18,697.16
Referidos,2025-07-18,251.64
Email,2025-07-19,84.85
Eventos,2025-07-19,233.13
Google Ads,2025-07-19,725.89
Meta Ads,2025-07-19,428.48
Referidos,2025-07-19,194.19
Email,2025-07-20,97.15
Eventos,2025-07-20,315.61
Google Ads,2025-07-20,707.26
Meta Ads,2025-07-20,403.02
Referidos,2025-07-20,190.83
Email,2025-07-21,120.87
Eventos,2025-07-21,431.47
Google Ads,2025-07-21,939.36
Meta Ads,2025-07-21,665.34
Referidos,2025-07-21,246.62
Email,2025-07-22,178.90
Eventos,2025-07-22,409.56
Google Ads,2025-07-22,957.17
Meta Ads,2025-07-22,602.19
Referidos,2025-07-22,287.94
Email,2025-07-23,125.48
Eventos,2025-07-23,364.54
Google Ads,2025-07-23,1076.75
Meta Ads,2025-07-23,800.08
Referidos,2025-07-23,302.72
Email,2025-07-24,157.60
Eventos,2025-07-24,379.95
Google Ads,2025-07-24,897.70
Meta Ads,2025-07-24,567.93
Referidos,2025-07-24,264.12
Email,2025-07-25,162.24
Eventos,2025-07-25,479.00
Google Ads,2025-07-25,892.34
Meta Ads,2025-07-25,773.44
Referidos,2025-07-25,295.39
Email,2025-07-26,123.63
Eventos,2025-07-26,301.45
Google Ads,2025-07-26,641.81
Meta Ads,2025-07-26,480.82
Referidos,2025-07-26,146.80
Email,2025-07-27,99.44
Eventos,2025-07-27,240.92
Google Ads,2025-07-27,644.71
Meta Ads,2025-07-27,448.15
Referidos,2025-07-27,191.30
Email,2025-07-28,134.13
Eventos,2025-07-28,417.11
Google Ads,2025-07-28,740.48
Meta Ads,2025-07-28,706.02
Referidos,2025-07-28,246.58
Email,2025-07-29,179.85
Eventos,2025-07-29,447.29
Google Ads,2025-07-29,924.96
Meta Ads,2025-07-29,678.94
Referidos,2025-07-29,230.30
Email,2025-07-30,148.40
Eventos,2025-07-30,399.18
Google Ads,2025-07-30,793.29
Meta Ads,2025-07-30,715.21
Referidos,2025-07-30,270.05
Email,2025-07-31,133.96
Eventos,2025-07-31,375.76
Google Ads,2025-07-31,1054.02
Meta Ads,2025-07-31,627.64
Referidos,2025-07-31,249.25
Email,2025-08-01,157.48
Eventos,2025-08-01,419.38
Google Ads,2025-08-01,751.16
Meta Ads,2025-08-01,662.86
Referidos,2025-08-01,301.63
Email,2025-08-02,99.26
Eventos,2025-08-02,280.01
Google Ads,2025-08-02,620.28
Meta Ads,2025-08-02,401.14
Referidos,2025-08-02,145.80
Email,2025-08-03,113.78
Eventos,2025-08-03,286.48
Google Ads,2025-08-03,537.47
Meta Ads,2025-08-03,500.17
Referidos,2025-08-03,206.56
Email,2025-08-04,141.74
Eventos,2025-08-04,411.61
Google Ads,2025-08-04,936.41
Meta Ads,2025-08-04,565.75
Referidos,2025-08-04,298.16
Email,2025-08-05,155.01
Eventos,2025-08-05,449.03
Google Ads,2025-08-05,997.67
Meta Ads,2025-08-05,572.44
Referidos,2025-08-05,277.15
Email,2025-08-06,158.91
Eventos,2025-08-06,468.78
Google Ads,2025-08-06,807.00
Meta Ads,2025-08-06,658.45
Referidos,2025-08-06,303.80
Email,2025-08-07,139.49
Eventos,2025-08-07,473.48
Google Ads,2025-08-07,885.94
Meta Ads,2025-08-07,650.21
Referidos,2025-08-07,248.22
Email,2025-08-08,167.87
Eventos,2025-08-08,373.82
Google Ads,2025-08-08,916.92
Meta Ads,2025-08-08,778.55
Referidos,2025-08-08,276.30
Email,2025-08-09,105.38
Eventos,2025-08-09,259.24
Google Ads,2025-08-09,652.06
Meta Ads,2025-08-09,508.62
Referidos,2025-08-09,146.32
Email,2025-08-10,95.63
Eventos,2025-08-10,324.64
Google Ads,2025-08-10,656.47
Meta Ads,2025-08-10,393.15
Referidos,2025-08-10,167.88
Email,2025-08-11,160.62
Eventos,2025-08-11,395.30
Google Ads,2025-08-11,823.30
Meta Ads,2025-08-11,770.83
Referidos,2025-08-11,245.71
Email,2025-08-12,131.92
Eventos,2025-08-12,444.07
Google Ads,2025-08-12,858.43
Meta Ads,2025-08-12,832.01
Referidos,2025-08-12,235.86
Email,2025-08-13,162.05
Eventos,2025-08-13,386.93
Google Ads,2025-08-13,1071.33
Meta Ads,2025-08-13,574.84
Referidos,2025-08-13,273.60
Email,2025-08-14,157.39
Eventos,2025-08-14,479.22
Google Ads,2025-08-14,988.32
Meta Ads,2025-08-14,758.81
Referidos,2025-08-14,281.03
Email,2025-08-15,135.79
Eventos,2025-08-15,386.44
Google Ads,2025-08-15,835.37
Meta Ads,2025-08-15,580.77
Referidos,2025-08-15,219.06
Email,2025-08-16,120.83
Eventos,2025-08-16,330.78
Google Ads,2025-08-16,582.39
Meta Ads,2025-08-16,527.36
Referidos,2025-08-16,162.69
Email,2025-08-17,91.96
Eventos,2025-08-17,325.27
Google Ads,2025-08-17,702.91
Meta Ads,2025-08-17,532.61
Referidos,2025-08-17,182.31
Email,2025-08-18,148.09
Eventos,2025-08-18,441.10
Google Ads,2025-08-18,1035.27
Meta Ads,2025-08-18,564.33
Referidos,2025-08-18,240.08
Email,2025-08-19,171.91
Eventos,2025-08-19,332.85
Google Ads,2025-08-19,1034.45
Meta Ads,2025-08-19,688.21
Referidos,2025-08-19,232.50
Email,2025-08-20,163.75
Eventos,2025-08-20,406.15
Google Ads,2025-08-20,1065.78
Meta Ads,2025-08-20,754.82
Referidos,2025-08-20,302.27
Email,2025-08-21,123.28
Eventos,2025-08-21,457.86
Google Ads,2025-08-21,833.61
Meta Ads,2025-08-21,825.33
Referidos,2025-08-21,286.71
Email,2025-08-22,142.13
Eventos,2025-08-22,468.62
Google Ads,2025-08-22,744.94
Meta Ads,2025-08-22,794.90
Referidos,2025-08-22,308.58
Email,2025-08-23,93.52
Eventos,2025-08-23,230.97
Google Ads,2025-08-23,752.95
Meta Ads,2025-08-23,425.15
Referidos,2025-08-23,176.03
Email,2025-08-24,124.06
Eventos,2025-08-24,241.13
Google Ads,2025-08-24,619.29
Meta Ads,2025-08-24,400.54
Referidos,2025-08-24,186.54
Email,2025-08-25,147.61
Eventos,2025-08-25,429.18
Google Ads,2025-08-25,950.48
Meta Ads,2025-08-25,611.37
Referidos,2025-08-25,277.37
Email,2025-08-26,135.42
Eventos,2025-08-26,352.25
Google Ads,2025-08-26,769.42
Meta Ads,2025-08-26,804.09
Referidos,2025-08-26,254.63
Email,2025-08-27,128.06
Eventos,2025-08-27,376.23
Google Ads,2025-08-27,777.37
Meta Ads,2025-08-27,604.69
Referidos,2025-08-27,241.75
Email,2025-08-28,140.15
Eventos,2025-08-28,421.06
Google Ads,2025-08-28,998.70
Meta Ads,2025-08-28,583.53
Referidos,2025-08-28,285.21
Email,2025-08-29,168.27
Eventos,2025-08-29,374.80
Google Ads,2025-08-29,1020.74
Meta Ads,2025-08-29,783.16
Referidos,2025-08-29,245.42
Email,2025-08-30,98.01
Eventos,2025-08-30,230.65
Google Ads,2025-08-30,600.96
Meta Ads,2025-08-30,407.32
Referidos,2025-08-30,172.72
Email,2025-08-31,105.48
Eventos,2025-08-31,326.69
Google Ads,2025-08-31,684.53
Meta Ads,2025-08-31,514.59
Referidos,2025-08-31,217.10
Email,2025-09-01,160.63
Eventos,2025-09-01,419.72
Google Ads,2025-09-01,1004.15
Meta Ads,2025-09-01,751.47
Referidos,2025-09-01,219.82
Email,2025-09-02,163.52
Eventos,2025-09-02,329.69
Google Ads,2025-09-02,788.83
Meta Ads,2025-09-02,803.55
Referidos,2025-09-02,256.70
Email,2025-09-03,174.62
Eventos,2025-09-03,413.29
Google Ads,2025-09-03,1078.01
Meta Ads,2025-09-03,663.08
Referidos,2025-09-03,231.47
Email,2025-09-04,141.49
Eventos,2025-09-04,331.52
Google Ads,2025-09-04,878.71
Meta Ads,2025-09-04,713.01
Referidos,2025-09-04,305.76
Email,2025-09-05,177.85
Eventos,2025-09-05,451.84
Google Ads,2025-09-05,850.12
Meta Ads,2025-09-05,578.33
Referidos,2025-09-05,244.56
Email,2025-09-06,107.34
Eventos,2025-09-06,298.42
Google Ads,2025-09-06,555.53
Meta Ads,2025-09-06,522.92
Referidos,2025-09-06,190.21
Email,2025-09-07,112.87
Eventos,2025-09-07,332.10
Google Ads,2025-09-07,504.68
Meta Ads,2025-09-07,488.08
Referidos,2025-09-07,157.07
Email,2025-09-08,165.83
Eventos,2025-09-08,388.64
Google Ads,2025-09-08,791.76
Meta Ads,2025-09-08,573.92
Referidos,2025-09-08,244.88
Email,2025-09-09,125.97
Eventos,2025-09-09,472.97
Google Ads,2025-09-09,885.29
Meta Ads,2025-09-09,581.13
Referidos,2025-09-09,240.40
Email,2025-09-10,130.08
Eventos,2025-09-10,325.36
Google Ads,2025-09-10,907.21
Meta Ads,2025-09-10,791.04
Referidos,2025-09-10,244.10
Email,2025-09-11,177.35
Eventos,2025-09-11,449.73
Google Ads,2025-09-11,842.38
Meta Ads,2025-09-11,742.76
Referidos,2025-09-11,310.61
Email,2025-09-12,158.03
Eventos,2025-09-12,414.68
Google Ads,2025-09-12,1016.56
Meta Ads,2025-09-12,682.15
Referidos,2025-09-12,304.18
Email,2025-09-13,117.18
Eventos,2025-09-13,242.41
Google Ads,2025-09-13,631.34
Meta Ads,2025-09-13,460.65
Referidos,2025-09-13,174.56
Email,2025-09-14,88.07
Eventos,2025-09-14,258.85
Google Ads,2025-09-14,740.87
Meta Ads,2025-09-14,554.65
Referidos,2025-09-14,198.41
Email,2025-09-15,178.68
Eventos,2025-09-15,400.59
Google Ads,2025-09-15,1074.09
Meta Ads,2025-09-15,650.70
Referidos,2025-09-15,212.72
Email,2025-09-16,169.03
Eventos,2025-09-16,335.40
Google Ads,2025-09-16,889.40
Meta Ads,2025-09-16,665.16
Referidos,2025-09-16,269.30
Email,2025-09-17,127.30
Eventos,2025-09-17,335.30
Google Ads,2025-09-17,1055.55
Meta Ads,2025-09-17,635.95
Referidos,2025-09-17,249.48
Email,2025-09-18,175.07
Eventos,2025-09-18,348.74
Google Ads,2025-09-18,773.02
Meta Ads,2025-09-18,823.33
Referidos,2025-09-18,283.24
Email,2025-09-19,163.81
Eventos,2025-09-19,362.02
Google Ads,2025-09-19,757.15
Meta Ads,2025-09-19,623.57
Referidos,2025-09-19,310.97
Email,2025-09-20,105.74
Eventos,2025-09-20,293.86
Google Ads,2025-09-20,564.13
Meta Ads,2025-09-20,411.52
Referidos,2025-09-20,207.44
Email,2025-09-21,109.58
Eventos,2025-09-21,236.98
Google Ads,2025-09-21,626.09
Meta Ads,2025-09-21,573.18
Referidos,2025-09-21,183.64
Email,2025-09-22,121.29
Eventos,2025-09-22,329.73
Google Ads,2025-09-22,926.24
Meta Ads,2025-09-22,781.36
Referidos,2025-09-22,289.82
Email,2025-09-23,144.77
Eventos,2025-09-23,343.80
Google Ads,2025-09-23,914.22
Meta Ads,2025-09-23,696.01
Referidos,2025-09-23,268.54
Email,2025-09-24,124.70
Eventos,2025-09-24,405.03
Google Ads,2025-09-24,872.22
Meta Ads,2025-09-24,574.98
Referidos,2025-09-24,295.58
Email,2025-09-25,121.01
Eventos,2025-09-25,448.43
Google Ads,2025-09-25,1050.97
Meta Ads,2025-09-25,742.01
Referidos,2025-09-25,214.30
Email,2025-09-26,135.99
Eventos,2025-09-26,437.16
Google Ads,2025-09-26,1035.85
Meta Ads,2025-09-26,729.30
Referidos,2025-09-26,212.21
Email,2025-09-27,121.92
Eventos,2025-09-27,310.94
Google Ads,2025-09-27,595.80
Meta Ads,2025-09-27,493.35
Referidos,2025-09-27,148.13
Email,2025-09-28,120.92
Eventos,2025-09-28,251.27
Google Ads,2025-09-28,546.43
Meta Ads,2025-09-28,455.26
Referidos,2025-09-28,213.58
Email,2025-09-29,167.85
Eventos,2025-09-29,348.51
Google Ads,2025-09-29,725.52
Meta Ads,2025-09-29,676.11
Referidos,2025-09-29,269.31
Email,2025-09-30,147.32
Eventos,2025-09-30,437.64
Google Ads,2025-09-30,808.77
Meta Ads,2025-09-30,768.32
Referidos,2025-09-30,294.03
Email,2025-10-01,143.89
Eventos,2025-10-01,405.66
Google Ads,2025-10-01,854.69
Meta Ads,2025-10-01,663.54
Referidos,2025-10-01,281.47
Email,2025-10-02,151.90
Eventos,2025-10-02,399.81
Google Ads,2025-10-02,735.02
Meta Ads,2025-10-02,602.68
Referidos,2025-10-02,302.38
Email,2025-10-03,160.81
Eventos,2025-10-03,391.85
Google Ads,2025-10-03,778.51
Meta Ads,2025-10-03,658.17
Referidos,2025-10-03,266.67
Email,2025-10-04,107.92
Eventos,2025-10-04,297.73
Google Ads,2025-10-04,588.78
Meta Ads,2025-10-04,538.09
Referidos,2025-10-04,165.42
Email,2025-10-05,98.02
Eventos,2025-10-05,225.61
Google Ads,2025-10-05,740.91
Meta Ads,2025-10-05,518.26
Referidos,2025-10-05,170.70
Email,2025-10-06,157.59
Eventos,2025-10-06,400.97
Google Ads,2025-10-06,853.25
Meta Ads,2025-10-06,571.81
Referidos,2025-10-06,229.75
Email,2025-10-07,143.36
Eventos,2025-10-07,406.38
Google Ads,2025-10-07,1010.76
Meta Ads,2025-10-07,747.09
Referidos,2025-10-07,230.89
Email,2025-10-08,133.91
Eventos,2025-10-08,355.47
Google Ads,2025-10-08,966.19
Meta Ads,2025-10-08,795.47
Referidos,2025-10-08,277.48
Email,2025-10-09,168.36
Eventos,2025-10-09,434.24
Google Ads,2025-10-09,1000.27
Meta Ads,2025-10-09,635.83
Referidos,2025-10-09,213.09
Email,2025-10-10,155.31
Eventos,2025-10-10,327.54
Google Ads,2025-10-10,840.08
Meta Ads,2025-10-10,632.18
Referidos,2025-10-10,272.76
Email,2025-10-11,114.67
Eventos,2025-10-11,321.06
Google Ads,2025-10-11,523.12
Meta Ads,2025-10-11,571.94
Referidos,2025-10-11,173.76
Email,2025-10-12,121.35
Eventos,2025-10-12,305.68
Google Ads,2025-10-12,752.94
Meta Ads,2025-10-12,539.66
Referidos,2025-10-12,200.14
Email,2025-10-13,152.87
Eventos,2025-10-13,454.10
Google Ads,2025-10-13,1046.18
Meta Ads,2025-10-13,670.21
Referidos,2025-10-13,311.14
Email,2025-10-14,174.96
Eventos,2025-10-14,409.45
Google Ads,2025-10-14,1077.24
Meta Ads,2025-10-14,721.12
Referidos,2025-10-14,298.84
Email,2025-10-15,129.45
Eventos,2025-10-15,417.00
Google Ads,2025-10-15,907.02
Meta Ads,2025-10-15,611.49
Referidos,2025-10-15,311.73
Email,2025-10-16,131.68
Eventos,2025-10-16,447.29
Google Ads,2025-10-16,1030.86
Meta Ads,2025-10-16,644.68
Referidos,2025-10-16,214.91
Email,2025-10-17,171.45
Eventos,2025-10-17,478.38
Google Ads,2025-10-17,759.52
Meta Ads,2025-10-17,726.88
Referidos,2025-10-17,292.14
Email,2025-10-18,87.82
Eventos,2025-10-18,243.06
Google Ads,2025-10-18,691.27
Meta Ads,2025-10-18,405.88
Referidos,2025-10-18,183.28
Email,2025-10-19,104.13
Eventos,2025-10-19,286.12
Google Ads,2025-10-19,656.15
Meta Ads,2025-10-19,525.11
Referidos,2025-10-19,201.08
Email,2025-10-20,171.62
Eventos,2025-10-20,359.67
Google Ads,2025-10-20,1059.93
Meta Ads,2025-10-20,703.45
Referidos,2025-10-20,259.42
Email,2025-10-21,174.76
Eventos,2025-10-21,342.85
Google Ads,2025-10-21,780.31
Meta Ads,2025-10-21,571.69
Referidos,2025-10-21,307.14
Email,2025-10-22,153.59
Eventos,2025-10-22,351.30
Google Ads,2025-10-22,937.31
Meta Ads,2025-10-22,674.62
Referidos,2025-10-22,279.81
Email,2025-10-23,140.91
Eventos,2025-10-23,441.03
Google Ads,2025-10-23,724.72
Meta Ads,2025-10-23,776.11
Referidos,2025-10-23,209.93
Email,2025-10-24,175.32
Eventos,2025-10-24,414.75
Google Ads,2025-10-24,911.22
Meta Ads,2025-10-24,563.08
Referidos,2025-10-24,237.05
Email,2025-10-25,107.65
Eventos,2025-10-25,255.58
Google Ads,2025-10-25,653.94
Meta Ads,2025-10-25,531.66
Referidos,2025-10-25,192.46
Email,2025-10-26,104.41
Eventos,2025-10-26,252.76
Google Ads,2025-10-26,632.57
Meta Ads,2025-10-26,499.27
Referidos,2025-10-26,187.78
Email,2025-10-27,142.87
Eventos,2025-10-27,345.38
Google Ads,2025-10-27,1009.45
Meta Ads,2025-10-27,775.54
Referidos,2025-10-27,230.58
Email,2025-10-28,159.43
Eventos,2025-10-28,329.70
Google Ads,2025-10-28,876.91
Meta Ads,2025-10-28,693.58
Referidos,2025-10-28,220.51
Email,2025-10-29,127.29
Eventos,2025-10-29,452.38
Google Ads,2025-10-29,732.69
Meta Ads,2025-10-29,762.20
Referidos,2025-10-29,250.03
Email,2025-10-30,149.68
Eventos,2025-10-30,415.70
Google Ads,2025-10-30,1069.82
Meta Ads,2025-10-30,615.96
Referidos,2025-10-30,247.36
Email,2025-10-31,177.75
Eventos,2025-10-31,330.96
Google Ads,2025-10-31,1022.95
Meta Ads,2025-10-31,764.04
Referidos,2025-10-31,311.44
Email,2025-11-01,121.65
Eventos,2025-11-01,230.64
Google Ads,2025-11-01,715.20
Meta Ads,2025-11-01,547.35
Referidos,2025-11-01,214.29
Email,2025-11-02,97.65
Eventos,2025-11-02,240.20
Google Ads,2025-11-02,576.80
Meta Ads,2025-11-02,523.75
Referidos,2025-11-02,191.58
Email,2025-11-03,167.67
Eventos,2025-11-03,445.48
Google Ads,2025-11-03,725.63
Meta Ads,2025-11-03,792.53
Referidos,2025-11-03,222.59
Email,2025-11-04,120.12
Eventos,2025-11-04,404.58
Google Ads,2025-11-04,1063.92
Meta Ads,2025-11-04,563.36
Referidos,2025-11-04,306.32
Email,2025-11-05,127.13
Eventos,2025-11-05,469.74
Google Ads,2025-11-05,757.41
Meta Ads,2025-11-05,798.23
Referidos,2025-11-05,300.99
Email,2025-11-06,172.40
Eventos,2025-11-06,428.00
Google Ads,2025-11-06,817.03
Meta Ads,2025-11-06,569.80
Referidos,2025-11-06,291.29
Email,2025-11-07,133.56
Eventos,2025-11-07,425.68
Google Ads,2025-11-07,730.20
Meta Ads,2025-11-07,705.68
Referidos,2025-11-07,249.35
Email,2025-11-08,106.07
Eventos,2025-11-08,278.00
Google Ads,2025-11-08,609.14
Meta Ads,2025-11-08,422.78
Referidos,2025-11-08,176.16
Email,2025-11-09,92.44
Eventos,2025-11-09,240.67
Google Ads,2025-11-09,579.27
Meta Ads,2025-11-09,427.92
Referidos,2025-11-09,170.49
Email,2025-11-10,126.56
Eventos,2025-11-10,464.38
Google Ads,2025-11-10,924.31
Meta Ads,2025-11-10,839.71
Referidos,2025-11-10,277.15
Email,2025-11-11,170.49
Eventos,2025-11-11,382.57
Google Ads,2025-11-11,992.22
Meta Ads,2025-11-11,700.01
Referidos,2025-11-11,289.33
Email,2025-11-12,159.60
Eventos,2025-11-12,330.94
Google Ads,2025-11-12,720.85
Meta Ads,2025-11-12,702.98
Referidos,2025-11-12,224.16
Email,2025-11-13,139.08
Eventos,2025-11-13,367.73
Google Ads,2025-11-13,733.63
Meta Ads,2025-11-13,580.63
Referidos,2025-11-13,244.29
Email,2025-11-14,160.28
Eventos,2025-11-14,434.02
Google Ads,2025-11-14,1044.20
Meta Ads,2025-11-14,827.73
Referidos,2025-11-14,241.72
Email,2025-11-15,108.52
Eventos,2025-11-15,232.52
Google Ads,2025-11-15,613.21
Meta Ads,2025-11-15,460.15
Referidos,2025-11-15,155.33
Email,2025-11-16,98.95
Eventos,2025-11-16,235.53
Google Ads,2025-11-16,566.38
Meta Ads,2025-11-16,444.60
Referidos,2025-11-16,162.31
Email,2025-11-17,148.82
Eventos,2025-11-17,326.51
Google Ads,2025-11-17,1048.28
Meta Ads,2025-11-17,603.20
Referidos,2025-11-17,210.76
Email,2025-11-18,138.71
Eventos,2025-11-18,414.14
Google Ads,2025-11-18,771.18
Meta Ads,2025-11-18,574.90
Referidos,2025-11-18,242.42
Email,2025-11-19,177.64
Eventos,2025-11-19,441.95
Google Ads,2025-11-19,729.33
Meta Ads,2025-11-19,562.48
Referidos,2025-11-19,260.24
Email,2025-11-20,134.92
Eventos,2025-11-20,436.64
Google Ads,2025-11-20,856.48
Meta Ads,2025-11-20,674.18
Referidos,2025-11-20,270.96
Email,2025-11-21,156.95
Eventos,2025-11-21,441.14
Google Ads,2025-11-21,979.38
Meta Ads,2025-11-21,765.50
Referidos,2025-11-21,224.06
Email,2025-11-22,86.31
Eventos,2025-11-22,291.51
Google Ads,2025-11-22,563.94
Meta Ads,2025-11-22,443.26
Referidos,2025-11-22,156.16
Email,2025-11-23,112.42
Eventos,2025-11-23,275.78
Google Ads,2025-11-23,521.00
Meta Ads,2025-11-23,470.58
Referidos,2025-11-23,200.82
Email,2025-11-24,127.97
Eventos,2025-11-24,325.34
Google Ads,2025-11-24,779.49
Meta Ads,2025-11-24,689.73
Referidos,2025-11-24,244.87
Email,2025-11-25,174.49
Eventos,2025-11-25,381.68
Google Ads,2025-11-25,733.10
Meta Ads,2025-11-25,562.75
Referidos,2025-11-25,239.71
Email,2025-11-26,142.03
Eventos,2025-11-26,438.95
Google Ads,2025-11-26,958.75
Meta Ads,2025-11-26,755.33
Referidos,2025-11-26,241.55
Email,2025-11-27,154.97
Eventos,2025-11-27,338.01
Google Ads,2025-11-27,932.86
Meta Ads,2025-11-27,630.66
Referidos,2025-11-27,286.21
Email,2025-11-28,176.09
Eventos,2025-11-28,474.45
Google Ads,2025-11-28,730.31
Meta Ads,2025-11-28,776.69
Referidos,2025-11-28,256.56
Email,2025-11-29,84.09
Eventos,2025-11-29,238.85
Google Ads,2025-11-29,654.22
Meta Ads,2025-11-29,405.34
Referidos,2025-11-29,210.96
Email,2025-11-30,114.15
Eventos,2025-11-30,249.84
Google Ads,2025-11-30,601.47
Meta Ads,2025-11-30,418.09
Referidos,2025-11-30,190.15
Email,2025-12-01,143.56
Eventos,2025-12-01,416.30
Google Ads,2025-12-01,803.34
Meta Ads,2025-12-01,721.95
Referidos,2025-12-01,254.44
Email,2025-12-02,146.60
Eventos,2025-12-02,391.29
Google Ads,2025-12-02,1046.14
Meta Ads,2025-12-02,809.38
Referidos,2025-12-02,289.54
Email,2025-12-03,149.50
Eventos,2025-12-03,391.66
Google Ads,2025-12-03,744.03
Meta Ads,2025-12-03,741.54
Referidos,2025-12-03,221.32
Email,2025-12-04,148.62
Eventos,2025-12-04,408.78
Google Ads,2025-12-04,1076.93
Meta Ads,2025-12-04,685.79
Referidos,2025-12-04,254.91
Email,2025-12-05,151.35
Eventos,2025-12-05,476.23
Google Ads,2025-12-05,799.61
Meta Ads,2025-12-05,830.05
Referidos,2025-12-05,311.04
Email,2025-12-06,109.99
Eventos,2025-12-06,311.67
Google Ads,2025-12-06,624.16
Meta Ads,2025-12-06,550.53
Referidos,2025-12-06,206.19
Email,2025-12-07,104.97
Eventos,2025-12-07,226.97
Google Ads,2025-12-07,586.36
Meta Ads,2025-12-07,575.49
Referidos,2025-12-07,192.37
Email,2025-12-08,165.53
Eventos,2025-12-08,470.77
Google Ads,2025-12-08,761.98
Meta Ads,2025-12-08,702.19
Referidos,2025-12-08,296.16
Email,2025-12-09,147.11
Eventos,2025-12-09,378.48
Google Ads,2025-12-09,878.39
Meta Ads,2025-12-09,755.31
Referidos,2025-12-09,217.98
Email,2025-12-10,129.60
Eventos,2025-12-10,449.97
Google Ads,2025-12-10,891.45
Meta Ads,2025-12-10,685.55
Referidos,2025-12-10,218.64
Email,2025-12-11,156.23
