sku,categoria,segmento_demanda,lead_time_dias,stock_actual,costo_unitario,precio_unitario,margen_pct
SKU-0370,Cuidado Personal,media,14,1167,61.28,101.34,39.5
SKU-0371,Ferretería y Herramientas,media,21,3286,113.89,176.22,35.4
SKU-0372,Alimentos y Bebidas,media,6,917,33.35,57.65,42.1
SKU-0373,Cuidado Personal,esporadica,14,66,38.0,51.96,26.9
SKU-0374,Cuidado Personal,baja,14,228,57.5,75.83,24.2
SKU-0375,Ferretería y Herramientas,esporadica,21,87,113.9,163.45,30.3
SKU-0376,Alimentos y Bebidas,media,6,509,54.0,77.96,30.7
SKU-0377,Limpieza del Hogar,esporadica,10,49,20.48,32.39,36.8
SKU-0378,Electrónica y Accesorios,alta,30,10113,83.33,94.24,11.6
SKU-0379,Limpieza del Hogar,baja,10,536,22.77,26.98,15.6
SKU-0380,Ferretería y Herramientas,media,21,1458,124.26,159.02,21.9
SKU-0381,Limpieza del Hogar,baja,10,568,25.87,40.82,36.6
SKU-0382,Cuidado Personal,media,14,517,55.67,88.8,37.3
SKU-0383,Electrónica y Accesorios,media,30,4870,132.13,155.9,15.2
SKU-0384,Electrónica y Accesorios,baja,30,1562,177.63,209.07,15.0
SKU-0385,Alimentos y Bebidas,media,6,552,45.01,55.97,19.6
SKU-0386,Limpieza del Hogar,media,10,1330,27.16,38.77,29.9
SKU-0387,Limpieza del Hogar,alta,10,3046,27.55,41.21,33.2
SKU-0388,Electrónica y Accesorios,esporadica,30,69,91.39,162.74,43.8
SKU-0389,Alimentos y Bebidas,media,6,145,37.25,46.68,20.2
SKU-0390,Cuidado Personal,baja,14,849,33.91,43.2,21.5
SKU-0391,Electrónica y Accesorios,nula,30,11,253.95,396.2,35.9
SKU-0392,Alimentos y Bebidas,media,6,342,36.5,45.66,20.1
SKU-0393,Ferretería y Herramientas,baja,21,1164,94.2,107.26,12.2
SKU-0394,Ferretería y Herramientas,media,21,726,98.55,150.58,34.6
SKU-0395,Alimentos y Bebidas,media,6,1012,54.0,68.3,20.9
SKU-0396,Limpieza del Hogar,esporadica,10,192,26.94,33.41,19.4
SKU-0397,Cuidado Personal,media,14,3348,63.35,71.99,12.0
SKU-0398,Alimentos y Bebidas,baja,6,82,45.2,73.5,38.5
SKU-0399,Electrónica y Accesorios,alta,30,17521,179.02,221.78,19.3
SKU-0400,Ferretería y Herramientas,media,21,1248,134.0,156.4,14.3
